game_id,team_id,TEAM_NAME,TEAM_ABBREVIATION,WL,HOMEORAWAY,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,E_PACE,is_team1
0022300646,1610612738,Boston Celtics,BOS,0,1,-9,-2,-0.08100000000000002,0,0,0.0,-1,-2,0.04200000000000004,3,-9,-6,-7,-6,1,4,-7,-38.0,0.15100000000000002,3.5,-3.6000000000000085,7.0,0.3000000000000007,0.0050000000000000044,0.017000000000000015,0.014000000000000012,-0.013000000000000012,0.29999999999999716,0
0022300630,1610612738,Boston Celtics,BOS,1,0,9,-14,0.191,6,-2,0.16900000000000004,9,7,0.18099999999999994,-5,21,16,11,-3,4,7,-2,66.0,0.23299999999999998,8.899999999999991,-0.6000000000000085,9.4,0.0,0.031,-0.017000000000000015,0.02200000000000002,-0.008000000000000007,1.2000000000000028,0
0022300611,1610612738,Boston Celtics,BOS,1,0,-2,-9,0.02300000000000002,1,6,-0.023999999999999966,12,16,0.019000000000000017,-5,1,-4,2,3,4,-4,0,18.0,0.17800000000000005,4.3999999999999915,-4.0,8.3,0.6000000000000014,0.025999999999999995,0.015000000000000013,0.031000000000000028,0.0,-2.799999999999997,0
0022300603,1610612738,Boston Celtics,BOS,1,0,2,4,0.0030000000000000027,7,12,0.07600000000000001,-2,-4,0.039999999999999925,5,1,6,5,1,9,1,0,18.0,0.26,8.899999999999991,-0.6000000000000085,9.3,1.4000000000000021,-0.0030000000000000027,-0.0010000000000000009,0.010000000000000009,-0.006000000000000005,-1.7999999999999972,0
0022300586,1610612738,Boston Celtics,BOS,0,1,-4,8,-0.09200000000000003,6,13,0.06,0,1,-0.05500000000000005,2,-11,-9,1,5,-1,-7,4,-4.0,0.09200000000000008,5.0,-1.9000000000000057,6.800000000000001,-1.6999999999999993,-0.008000000000000007,0.010000000000000009,0.006000000000000005,-0.008000000000000007,0.7999999999999972,0
0022300571,1610612738,Boston Celtics,BOS,1,1,3,-3,0.04800000000000004,11,4,0.268,2,3,-0.02399999999999991,1,12,13,-4,0,3,2,0,38.0,0.538,12.599999999999994,-5.400000000000006,17.9,-1.3999999999999986,0.02099999999999999,0.0020000000000000018,0.026000000000000023,-0.024999999999999994,-3.799999999999997,0
0022300563,1610612738,Boston Celtics,BOS,1,0,-5,-13,0.0020000000000000018,12,7,0.285,7,4,0.15800000000000003,-4,5,1,-5,-3,5,5,-5,18.0,0.466,9.899999999999991,-6.0,15.8,-1.1999999999999993,0.0050000000000000044,0.02400000000000002,0.031000000000000028,-0.016000000000000014,-1.7999999999999972,0
0022300542,1610612738,Boston Celtics,BOS,1,1,11,-4,0.133,17,17,0.278,-7,-5,-0.10699999999999998,-5,5,0,6,-3,5,-1,3,64.0,0.26,8.899999999999991,-0.6000000000000085,9.3,1.4000000000000021,-0.0030000000000000027,-0.0010000000000000009,0.010000000000000009,-0.006000000000000005,-1.7999999999999972,0
0022300528,1610612738,Boston Celtics,BOS,0,0,-18,-1,-0.19099999999999995,-9,-7,-0.172,12,14,0.020000000000000018,-6,-17,-23,-12,2,-1,-3,-9,-66.0,0.15100000000000002,3.5,-3.5,7.0,0.10000000000000142,0.033,-0.007000000000000006,0.017000000000000015,-0.0040000000000000036,-2.8999999999999915,0
0022300517,1610612738,Boston Celtics,BOS,1,1,-5,-5,-0.030000000000000027,5,13,-0.007999999999999952,12,11,0.06799999999999995,-1,0,-1,-1,1,-2,-1,-8,14.0,0.08200000000000007,7.200000000000003,3.3999999999999915,3.7,-0.09999999999999787,0.015999999999999986,-0.006000000000000005,0.0030000000000000027,-0.021999999999999992,0.29999999999999716,0
